226,Averill, Joseph K.,"Averill, Joseph N.",7,NH,Infantry,,,,,1864,178.1,7
227,Avery, George,,22,MA,Infantry,E,,,,1863,171.1,7
228,Avery, George,,12,NY,Infantry,E,,,,1863,171.1,7
229,Avery, Warren,,97,NY,Infantry,I,,,,1863,171.1,7
230,Axe, Samuel,,,US,Marine Corps,,Ord. Sgt.,"US Steamer ""Clifford""",,1863,171.1,7
231,Axtell, Henry,,89,IL,Infantry,A,Pvt.,,,1865,188.1,8
232,Ayer, Charles C.,,32,MA,Infantry,I,,,,1863,171.1,7
233,Ayers, John W.,,5,PA,Reserves,,,,,1862-1863,192.1,1
234,Ayles, T.H.,"Ayles, Thomas (G.)",16,NY,Heavy Artillery,,,,,1865,188.1,8
235,Aylsworth, Charles,,5,NY,Cavalry,,,,,1863,171.1,7
236,Aymar, James,,14,NY,Cavalry,E,,,,1864,178.1,7
237,Ayres, Edwin J.,,65,NY,Infantry,G,,,,1863,171.1,7
238,Ayres, George F.,"Ayers, George F.",23,OH,Infantry,A,,,,1864,178.1,7
239,Ayres, George W.,,118,PA,Infantry,G,,,,1863,171.1,7
240,Babcock, Eli A.,,146,NY,Infantry,G,,,,1864,178.1,8
241,Babcock, Nelson,,111,NY,Infantry,G,,,,1864,178.1,8
242,Babcock, Ransom L.,,9,NY,State Militia,L,,,9 NY Infantry,1865,188.1,9
243,Babcock, S.S.,"Babcock, Silas S.",2,MI,Infantry,H,,,,1865,188.1,9
244,Babcock, Stephen,,6,NY,Cavalry,,Pvt.,,,1864,178.1,8
245,Babcock, Stephen A.,,6,NY,Cavalry,K,Pvt.,,,1863,171.1,8
246,Babcock, V. D.,,81,NY,Infantry,,Cpl.,,,1863,171.1,8
247,Babcock, Van Dusen,,80,NY,Infantry,B,,,,1865,188.1,9
248,Babkirk, Wallace D.,,6,ME,Infantry,H,,,,1864,178.1,8
249,Bachelder, Alonzo,,8,MI,Infantry,I,,,,1864,178.1,8
250,Bachman, John,,3,US,Infantry,G,,,,1863,171.1,8
251,Bachtel, Henry,"Bachtell, Henry; Bachtell, Daniel",21,PA,Cavalry,,,,,1864,178.1,8
252,Backus, E.R.,"Backus, E.K.",15,NY,Heavy Artillery,,,,,1864,178.1,8
253,Backus, James,,16,NY,Heavy Artillery,,,,,1864,178.1,8
254,Bacon, Milton,,72,NY,Infantry,G,,,,1864,178.1,8
255,Badenhaussen, Julius,,176,NY,Infantry,G,Sgt.,,,1863,171.1,8
256,Baerenborg, Herman,,20,NY,Infantry,G,,,,1863,171.1,8
257,Baggett, S.,"Baggett, Stephan; Baggett, Stephen",11,NY,Cavalry,H,,,,1865,188.1,9
258,Bagley, James,,11,KY,Infantry,I,,,,1865,188.1,9
259,Bailes, Daniel M.,,61,PA,Infantry,,Pvt.,,,1864,178.1,9
260,Bailey, Charles,,1,MI,Sharp Shooters,A,,,,1864,178.1,9
261,Bailey, Dallas,,121,PA,Infantry,F,,,,1862-1863,192.1,2
262,Bailey, George S.,,68,PA,Infantry,B,,,,1863,171.1,8
263,Bailey, George S.,,68,PA,Infantry,B,,,,1864,178.1,9
264,Bailey, Henry,,15,NH,Infantry,,,,,1863,171.1,8
265,Bailey, James,,97,PA,Infantry,E,,,,1864,178.1,9
266,Bailey, Joseph,,5,NY,Infantry,I,,,5 NY Artillery,1863,171.1,8
267,Bailey, Joseph,,13,NY,Artillery,,,,,1864,178.1,9
268,Bailey, William E.,,8,MI,Infantry,B,,,,1864,178.1,9
269,Bailey, William G.,,15,NJ,Infantry,H,,,,1864,178.1,9
270,Bailey, Wm.,"Bailey, Webster",8,NY,Heavy Artillery,B,,,,1865,188.1,9
271,Bailie, N.,"Bailie, Nathaniel",51,IL,Infantry,E,Pvt.,,,1865,188.1,9
272,Baine, Patrick,"Bain, Patrick",27,MA,Infantry,C,,,,1864,178.1,9
273,Bair, William,,103,PA,Infantry,B,Sgt.,,,1864,178.1,9
274,Baird, Charles,,8,CT,Infantry,G,Pvt.,,,1862-1863,192.1,2
275,Baird, James,,26,PA,Infantry,D,,,,1863,171.1,8
276,Baird, Patrick,,36,NY,Infantry,B,Pvt.,,,1863,171.1,8
277,Baird, William,,99,PA,Infantry,H,Sgt.,,,1864,178.1,9
278,(Baites), William,"Bates, William",56,MA,Infantry,H,,"Veteran Reserve Corps, 5th Co., 2nd Battalion",,1865,188.1,9
279,Baity, Thomas,,5,OH,Infantry,F,,,5 OH Colored Troops,1865,188.1,9
280,Baker,,,23,OH,Infantry,,,"inquiry of Lavinia Baker, Columbia Station, OH",,1865,188.1,10
281,Baker, Adam,,179,NY,Infantry,,Pvt.,,,1864,178.1,10
282,Baker, Alva S.,,4,PA,Infantry,K,,,4 PA Cavalry,1864,178.1,10
